5aac063 2025-09-27 21:55:38 +0800  Initial Commit
19cb15b 2025-10-03 19:06:21 +0800  initial commit
53798f7 2025-10-05 21:19:10 +0800  add addItem view
f48a69e 2025-10-06 10:56:54 +0800  Implement item deletion of vault items
58ea3dd 2025-10-06 16:54:26 +0800  Add fluid animation to category icon overlay when on switch
0431ac7 2025-10-06 18:04:49 +0800  Replace stack to a ListView for native swipe action
e3d4ea0 2025-10-07 01:17:22 +0800  add stepper to itemlistrow
0ff63c0 2025-10-07 19:56:41 +0800  fix: resolve CartViewModel environment propagation crashes
4b3f65c 2025-10-07 23:50:05 +0800  feat: implement dynamic stepper and better animation
859dbb6 2025-10-08 09:39:17 +0800  feat: make tabbed navigation direction consistent between category switches
5b241df 2025-10-08 16:26:54 +0800  feat: add edit sheet for individual vault items
bd42fdd 2025-10-08 23:24:08 +0800  index on main: 5b241df feat: add edit sheet for individual vault items
2e0d5e2 2025-10-08 23:24:08 +0800  (refs/stash) On main: WIP before going back
e9b4f1d 2025-10-09 01:13:14 +0800  ensure categories is in order
a72efa7 2025-10-09 10:56:14 +0800  refactor: setup service for shared vault logic
85b4e28 2025-10-09 15:18:01 +0800  feat: sync create and update functions for vault items
b8333ae 2025-10-09 19:54:44 +0800  fix: add Store model to persist stores independently in vault
2ecdf9c 2025-10-10 09:48:46 +0800  style: improve animation
ebd1993 2025-10-13 00:51:11 +0800  style: add cart preview UI
6cab18f 2025-10-13 16:17:29 +0800  fix: cart preview slow dismiss animation
30da8c9 2025-10-14 12:05:19 +0800  fix: cart preview popover
0e5175e 2025-10-15 17:00:09 +0800  feat: improve homeview cartlist ui
82b075f 2025-10-15 17:41:38 +0800  refactor: implement custom toolbar stack
6ea36be 2025-10-17 23:59:04 +0800  refactor: remove unnecessary component duplicates to form fields
9c2f2c7 2025-10-21 15:46:19 +0800  style: setup initial style for cart detail
09a0164 2025-10-24 22:58:32 +0800  style: style listview
149bf2e 2025-10-26 18:48:44 +0800  style: detail cart list
b84ec8d 2025-10-27 17:18:51 +0800  fix: edit item sheet race condition conflict with navigation
95afb3f 2025-10-28 21:23:24 +0800  improve onboarding flow
fa6ba11 2025-10-29 01:18:28 +0800  fix: fix: persist cart selection across onboarding with shared ViewModel
